name,description,unitPrice,imageUrl,unitsInStock,active,sku,category
Nintendo Switch,The latest gaming console from Nintendo,299.00,https://example.com/switch.jpg,50,true,SWITCH,Gaming
Microsoft Xbox Series X,The latest gaming console from Microsoft,499.00,https://example.com/xboxseriesx.jpg,100,true,XSX,Gaming
PlayStation 5 Digital Edition,The digital-only version of Sony's latest gaming console,399.00,https://example.com/ps5de.jpg,75,true,PS5DE,Gaming
Nike Air Max 270,One of Nike's most popular running shoes,150.00,https://example.com/airmax270.jpg,50,true,AM270,Shoes
Adidas Ultraboost 21,One of Adidas's most popular running shoes,180.00,https://example.com/ultraboost21.jpg,100,true,UB21,Shoes
New Balance 990v5,One of New Balance's most popular running shoes,174.99,https://example.com/990v5.jpg,75,true,NB990V5,Shoes
Brooks Ghost 13,One of Brooks's most popular running shoes,129.99,https://example.com/ghost13.jpg,25,true,GHOST13,Shoes
The North Face Apex Flex GTX,One of The North Face's best waterproof jackets,299.00,https://example.com/apexflexgtx.jpg,50,true,APXFGTX,Jackets
Patagonia Nano Puff,One of Patagonia's most popular insulated jackets,199.00,https://example.com/nanopuff.jpg,100,true,NANOPUFF,Jackets
Arcadia II Rain Jacket,One of Columbia's best rain jackets,99.99,https://example.com/arcadiarain.jpg,75,true,ARCADIA,Jackets
The North Face Denali Fleece Jacket,One of The North Face's most popular fleece jackets,199.00,https://example.com/denali.jpg,25,true,DENALI,Jackets
Patagonia Better Sweater,One of Patagonia's most popular fleece jackets,139.00,https://example.com/bettersweater.jpg,0,false,BETTER,Jackets
Lululemon Align Leggings,One of Lululemon's most popular leggings,98.00,https://example.com/alignleggings.jpg,50,true,ALIGN,Pants
Nike Yoga Dri-FIT Tank Top,A moisture-wicking tank top for yoga and other workouts,40.00,https://example.com/niketank.jpg,100,true,NKTANK,Tops
Adidas Originals Trefoil Hoodie,A classic hoodie from Adidas,70.00,https://example.com/trefoilhoodie.jpg,75,true,TREFOIL,Hoodies
The North Face Apex Bionic 2 Jacket,One of The North Face's most popular softshell jackets,149.00,https://example.com/apexbionic2.jpg,25,true,APXBIONIC,Jackets
Patagonia Torrentshell 3L Jacket,One of Patagonia's best rain jackets,149.00,https://example.com/torrentshell.jpg,50,true,TORRENT,Jackets
Columbia Bugaboo II Fleece Interchange Jacket,A versatile 3-in-1 jacket from Columbia,199.00,https://example.com/bugaboo.jpg,100,true,BUGABOO,Jackets
Levi's 501 Original Fit Jeans,A classic pair of jeans from Levi's,69.50,https://example.com/501jeans.jpg,75,true,501JEANS,Pants
Gap Vintage Soft Joggers,Soft and comfortable joggers from Gap,49.95,https://example.com/gapjoggers.jpg,25,true,GAPJOGGERS,Pants
H&M Slim Fit Blazer,A stylish blazer from H&M,99.00,https://example.com/hmblazer.jpg,0,false,HMBLAZER,Blazers
Zara Textured Knit Sweater,A cozy sweater with a unique texture from Zara,49.90,https://example.com/zarasweater.jpg,50,true,ZSWEATER,Sweaters
Uniqlo Ultra Light Down Jacket,One of Uniqlo's most popular down jackets,79.90,https://example.com/uldjacket.jpg,100,true,ULDJACKET,Jackets
Everlane The ReNew Anorak,A sustainable and stylish anorak from Everlane,88.00,https://example.com/everlaneanorak.jpg,75,true,ANORAK,Jackets
Madewell The Perfect Vintage Jean,A classic and flattering pair of jeans from Madewell,128.00,https://example.com/madewelljeans.jpg,25,true,MADJEANS,Pants
Zara Basic Trench Coat,A timeless trench coat from Zara,99.90,https://example.com/zaratrench.jpg,50,true,ZTRENCH,Coats
Lululemon Surge Joggers,Comfortable and stylish joggers from Lululemon,118.00,https://example.com/surgejoggers.jpg,100,true,SURGEJOG,Pants
Nike Sportswear Windrunner Jacket,A lightweight and stylish jacket from Nike,100.00,https://example.com/windrunner.jpg,75,true,WINDRUN,Jackets
Adidas Tiro 19 Training Pants,Comfortable and stylish training pants from Adidas,45.00,https://example.com/tiro19.jpg,25,true,TIRO19,Pants
The North Face Thermoball Eco Jacket,A sustainable and warm jacket from The North Face,199.00,https://example.com/thermoball.jpg,50,true,THERMO,Jackets
Patagonia Retro Pile Fleece Jacket,A stylish and comfortable fleece jacket from Patagonia,139.00,https://example.com/retropile.jpg,100,true,RETRO,Jackets
Columbia Heavenly Hooded Jacket,A warm and stylish jacket from Columbia,140.00,https://example.com/heavenly.jpg,75,true,HEAVENLY,Jackets
